CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
34761,55225,76278,32090,31156,65174,102357,28528,44162
34752,55613,75759,31869,30588,64517,103636,28468,44656
34506,55789,75480,31717,30140,63877,104566,28469,45180
34422,56091,75139,31767,29547,63417,105260,28459,45623
34231,56087,74757,31899,29206,63218,104974,28465,45509
33886,55569,77263,32781,29185,63662,104939,28445,44832
33857,57032,79980,33620,29476,66975,106955,28807,45239
34024,57909,76850,32492,29999,66006,107609,29488,46269
34885,56801,71255,30053,30809,62295,101841,30465,44952
37012,53591,65122,27115,31278,57756,93376,30275,42379
36784,49335,60621,24599,30241,54001,84677,28842,38968
35111,45780,57866,22964,28207,51687,78234,26723,35881
32175,43562,56191,21913,25919,49969,73775,24701,34017
29380,42457,55866,21510,24396,49314,71656,23620,32874
27315,41953,56768,21569,23605,49653,70930,23015,32346
26190,42439,60636,22534,23257,51783,72804,22680,32518
25545,44313,68882,25308,23349,56877,78792,22795,33997
25469,48080,74381,28746,23972,62680,86900,23508,36788
26152,50990,75097,30598,25797,64253,91847,25305,38796
28034,52110,75464,31253,28719,64537,93158,27387,39421
31187,52770,76200,31584,31270,65054,95091,28212,40638
33293,53858,76463,31748,31993,65722,97743,28215,42178
33885,54707,76678,31767,31623,65864,100214,28261,43485
34410,55801,77028,31689,31284,66092,102994,28370,44429
34696,56671,76930,31618,30967,66227,105571,28373,45377
34759,57385,76671,31340,30614,65957,107928,28391,45998
34782,57857,76638,31300,30296,65672,109386,28482,46491
34892,58502,76647,31604,30035,65475,110847,28672,46873
34859,58351,76462,32077,29898,65218,110826,28863,46778
34778,58002,78583,33185,29723,65799,110102,28964,46111
33999,58213,80420,33459,29658,68057,110239,28732,45819
33721,58469,77196,32026,29718,66827,109516,28891,46254
34188,57216,71424,29816,30223,63064,103585,29787,44925
36192,54068,65236,27004,30168,58200,94935,29705,42348
35927,49817,60545,24616,28929,54314,85919,28419,39188
34282,46385,57779,23137,26988,51782,79118,26282,36419
31612,44161,56191,22284,24840,50085,74802,24439,34574
28971,43077,55760,21932,23108,49309,72349,23388,33328
27068,42530,56585,22033,22242,49456,71518,22621,32893
25908,42916,60516,23066,21741,51442,73309,22324,33074
25258,44592,69173,25934,21848,56385,79353,22455,34441
25161,48663,74165,29529,22205,62103,87339,23189,37185
25776,51641,75125,31493,23857,63982,92227,24882,39207
27697,52569,76111,32199,26585,64725,93851,26914,40065
31097,53331,77231,32552,28961,65736,96560,27786,41449
33052,54538,77664,32694,29567,66589,99674,27830,43134
33679,55621,77759,32529,29331,66826,102618,27987,44551
34327,56704,78223,32313,29115,67101,105680,28232,45674
